--------- beginning of crash
06-08 23:55:42.665 27997 27997 E AndroidRuntime: FATAL EXCEPTION: main
06-08 23:55:42.665 27997 27997 E AndroidRuntime: Process: uk.co.cricrelay.stream, PID: 27997
06-08 23:55:42.665 27997 27997 E AndroidRuntime: java.lang.StackOverflowError: stack size 8188KB
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.copy$default(StudioViewModel.kt:92)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at uk.co.cricrelay.mobile.feature.studio.StudioUiState.equals(StudioViewModel.kt:63)
06-08 23:55:42.665 27997 27997 E AndroidRuntime: 	at kotlin.jvm.internal.Intrinsics.areEqual(Intrinsics.java:169)
